
[+] Resolving hosts from [ host.txt ]
+-----------------------------------------------------------------------------+-----------------+-------+
| Hostname                                                                    | IP              | RType |
| 11-pmc.gov.pk.pmc.gov.pk                                                    | 43.250.84.119   |   A   |
| 11-www.lesco.gov.pk                                                         | 65.254.231.115  |   A   |
| 11-www.pmc.gov.pk                                                           | 43.250.84.119   |   A   |
| 11.68.97.141.ist.edu.pk                                                     | 111.68.97.150   |   A   |
| 11.duhs.edu.pk                                                              | 67.222.63.249   |   A   |
| 11.icbb.vu.edu.pk                                                           | 172.67.138.93   | CNAME |
| 11.kp.gov.pk                                                                | 175.107.63.150  |   A   |
| 11.lesco.gov.pk                                                             | 65.254.231.115  |   A   |
| 11.pmc.gov.pk                                                               | 43.250.84.119   |   A   |
| 11.uskt.edu.pk                                                              | 206.72.198.158  |   A   |
| 110.68.97.129.ist.edu.pk                                                    | 111.68.97.150   |   A   |
| 110.68.97.143.ist.edu.pk                                                    | 111.68.97.150   |   A   |
| 111-1.68.97.130.ist.edu.pk                                                  | 111.68.97.150   |   A   |
| 111-1.68.97.137.ist.edu.pk                                                  | 111.68.97.150   |   A   |
| 111-13.68.97.134.ist.edu.pk                                                 | 111.68.97.150   |   A   |
| 111-14.68.97.128.ist.edu.pk                                                 | 111.68.97.150   |   A   |
| 111-14.68.97.139.ist.edu.pk                                                 | 111.68.97.150   |   A   |
| 111-15.68.97.134.ist.edu.pk                                                 | 111.68.97.150   |   A   |
| 111-17.68.97.130.ist.edu.pk                                                 | 111.68.97.150   |   A   |
| 111-3.68.97.142.ist.edu.pk                                                  | 111.68.97.150   |   A   |
| 111-4.68.97.130.ist.edu.pk                                                  | 111.68.97.150   |   A   |
| 111-5.68.97.132.ist.edu.pk                                                  | 111.68.97.150   |   A   |
| 111-6.68.97.141.ist.edu.pk                                                  | 111.68.97.150   |   A   |
| 111-7.68.97.132.ist.edu.pk                                                  | 111.68.97.150   |   A   |
| 111-7.68.97.137.ist.edu.pk                                                  | 111.68.97.150   |   A   |
| 111-acc.68.97.138.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-admin.68.97.132.ist.edu.pk                                              | 111.68.97.150   |   A   |
| 111-admin1.68.97.135.ist.edu.pk                                             | 111.68.97.150   |   A   |
| 111-administrator.68.97.131.ist.edu.pk                                      | 111.68.97.150   |   A   |
| 111-akamai.68.97.130.ist.edu.pk                                             | 111.68.97.150   |   A   |
| 111-akamai.68.97.137.ist.edu.pk                                             | 111.68.97.150   |   A   |
| 111-alpha.68.97.131.ist.edu.pk                                              | 111.68.97.150   |   A   |
| 111-alt.68.97.138.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-america.68.97.130.ist.edu.pk                                            | 111.68.97.150   |   A   |
| 111-america.68.97.133.ist.edu.pk                                            | 111.68.97.150   |   A   |
| 111-america.68.97.134.ist.edu.pk                                            | 111.68.97.150   |   A   |
| 111-analytics.68.97.130.ist.edu.pk                                          | 111.68.97.150   |   A   |
| 111-analytics.68.97.137.ist.edu.pk                                          | 111.68.97.150   |   A   |
| 111-api.68.97.132.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-api.68.97.136.ist.edu.pk                                                | 111.68.97.150   |   A   |
